Version,Apnea_Thresh,Hypop_Thresh,Rust_Apnea,Rust_Hypop,Rust_AHI,True_AHI,AHI_Error
v1.0-A0.1-H0.1,0.1,0.1,0,197,197,298,101
v1.0-A0.1-H0.2,0.1,0.2,0,195,195,298,103
v1.0-A0.1-H0.3,0.1,0.3,0,188,188,298,110
v1.0-A0.1-H0.4,0.1,0.4,0,172,172,298,126
v1.0-A0.1-H0.5,0.1,0.5,0,142,142,298,156
v1.0-A0.1-H0.6,0.1,0.6,0,88,88,298,210
v1.0-A0.1-H0.7,0.1,0.7,0,53,53,298,245
v1.0-A0.2-H0.1,0.2,0.1,0,214,214,298,84
v1.0-A0.2-H0.2,0.2,0.2,0,204,204,298,94
v1.0-A0.2-H0.3,0.2,0.3,0,192,192,298,106
v1.0-A0.2-H0.4,0.2,0.4,0,172,172,298,126
v1.0-A0.2-H0.5,0.2,0.5,0,142,142,298,156
v1.0-A0.2-H0.6,0.2,0.6,0,88,88,298,210
v1.0-A0.2-H0.7,0.2,0.7,0,51,51,298,247
v1.0-A0.3-H0.1,0.3,0.1,57,144,201,298,97
v1.0-A0.3-H0.2,0.3,0.2,57,134,191,298,107
v1.0-A0.3-H0.3,0.3,0.3,57,124,181,298,117
v1.0-A0.3-H0.4,0.3,0.4,57,105,162,298,136
v1.0-A0.3-H0.5,0.3,0.5,57,83,140,298,158
v1.0-A0.3-H0.6,0.3,0.6,57,33,90,298,208
v1.0-A0.4-H0.1,0.4,0.1,110,85,195,298,103
v1.0-A0.4-H0.2,0.4,0.2,110,76,186,298,112
v1.0-A0.4-H0.3,0.4,0.3,110,68,178,298,120
v1.0-A0.4-H0.4,0.4,0.4,110,57,167,298,131
v1.0-A0.4-H0.5,0.4,0.5,110,33,143,298,155
v1.0-A0.5-H0.1,0.5,0.1,190,32,222,298,76
v1.0-A0.5-H0.2,0.5,0.2,190,24,214,298,84
v1.0-A0.5-H0.3,0.5,0.3,190,15,205,298,93
v1.0-A0.5-H0.4,0.5,0.4,190,12,202,298,96
v1.0-A0.6-H0.1,0.6,0.1,266,21,287,298,11
v1.0-A0.6-H0.2,0.6,0.2,266,13,279,298,19
v1.0-A0.6-H0.3,0.6,0.3,266,1,267,298,31
v1.0-A0.1-H0.1,0.1,0.1,0,197,197,298,101
v1.0-A0.1-H0.2,0.1,0.2,0,195,195,298,103
v1.0-A0.1-H0.3,0.1,0.3,0,188,188,298,110
v1.0-A0.1-H0.4,0.1,0.4,0,172,172,298,126
v1.0-A0.1-H0.5,0.1,0.5,0,142,142,298,156
v1.0-A0.1-H0.6,0.1,0.6,0,88,88,298,210
v1.0-A0.1-H0.7,0.1,0.7,0,53,53,298,245
v1.0-A0.2-H0.1,0.2,0.1,0,214,214,298,84
v1.0-A0.2-H0.2,0.2,0.2,0,204,204,298,94
v1.0-A0.2-H0.3,0.2,0.3,0,192,192,298,106
v1.0-A0.2-H0.4,0.2,0.4,0,172,172,298,126
v1.0-A0.2-H0.5,0.2,0.5,0,142,142,298,156
v1.0-A0.2-H0.6,0.2,0.6,0,88,88,298,210
v1.0-A0.2-H0.7,0.2,0.7,0,51,51,298,247
v1.0-A0.3-H0.1,0.3,0.1,57,144,201,298,97
v1.0-A0.3-H0.2,0.3,0.2,57,134,191,298,107
v1.0-A0.3-H0.3,0.3,0.3,57,124,181,298,117
v1.0-A0.3-H0.4,0.3,0.4,57,105,162,298,136
v1.0-A0.3-H0.5,0.3,0.5,57,83,140,298,158
v1.0-A0.3-H0.6,0.3,0.6,57,33,90,298,208
v1.0-A0.4-H0.1,0.4,0.1,110,85,195,298,103
v1.0-A0.4-H0.2,0.4,0.2,110,76,186,298,112
v1.0-A0.4-H0.3,0.4,0.3,110,68,178,298,120
v1.0-A0.4-H0.4,0.4,0.4,110,57,167,298,131
v1.0-A0.4-H0.5,0.4,0.5,110,33,143,298,155
v1.0-A0.5-H0.1,0.5,0.1,190,32,222,298,76
v1.0-A0.5-H0.2,0.5,0.2,190,24,214,298,84
v1.0-A0.5-H0.3,0.5,0.3,190,15,205,298,93
v1.0-A0.5-H0.4,0.5,0.4,190,12,202,298,96
v1.0-A0.6-H0.1,0.6,0.1,266,21,287,298,11
v1.0-A0.6-H0.2,0.6,0.2,266,13,279,298,19
v1.0-A0.6-H0.3,0.6,0.3,266,1,267,298,31
